epoch,binary_crossentropy,fbeta,focal_loss,loss,val_binary_crossentropy,val_fbeta,val_focal_loss,val_loss
0,0.009719436162451101,0.9979074142029276,0.0025048234339474155,0.021908193723862546,0.010012247869343639,0.9982488836499539,0.0023839888291905744,0.01917284053458094
1,0.008919146705903998,0.9979992818407482,0.0022769147440993994,0.020450217178522134,0.007672679162422704,0.9983703844738075,0.0018044966829775285,0.016168476167562174
2,0.00839793788318118,0.9980697436985793,0.002144744007758553,0.019508790219475713,0.0070494374293924855,0.9984377146454793,0.0017043947589111949,0.01546428489610277
3,0.008427390873914796,0.9980646907060873,0.0021526493879776864,0.019577869976590723,0.008751131475901397,0.9984583723605238,0.0021551204533340118,0.01725984736629893
4,0.008053447474105252,0.9981234949955251,0.0020513180947490913,0.018833167990622623,0.007243888878988708,0.9984957141333032,0.0017960244484197558,0.01561465462051043
5,0.00798024459026405,0.9981601361942012,0.002036348049151524,0.018563965140820926,0.007633874031510454,0.9985669246232157,0.00202818603918913,0.016281759330107726
6,0.007823692208273211,0.9981639924953924,0.0020024626173758223,0.018394567832423547,0.006679867015917487,0.9985679062304947,0.0016984063218178896,0.014858483624840973
7,0.007793993208965285,0.998183891773806,0.0019903567569999657,0.018241765206759464,0.006596713099141659,0.9985334831514888,0.001680831653295117,0.015016114636392625
8,0.007479424195696948,0.998231893623597,0.0019128285602229831,0.017650134785056615,0.006132319934550515,0.9983945307150622,0.0016617406115763287,0.01585038472778773
9,0.007503154350452252,0.9982236081268638,0.0019121073436007372,0.017696067545986738,0.007459434019795954,0.9985983082091284,0.0019193828275872844,0.01562679964717366
10,0.007463262416127861,0.9982158996135695,0.0019043145609484902,0.017707412462987016,0.006051200510491835,0.9984116329937077,0.0015261682428001455,0.015063198286522526
11,0.007240803364398933,0.9982725649751956,0.0018470901216641688,0.017152761203435896,0.007411382043411784,0.9985586315844672,0.0018274926037713784,0.015364020696752778
12,0.007130887625503174,0.9983002716908231,0.0018217383363139477,0.01689019520850854,0.007380975912180626,0.9985140800132284,0.0018030235018206358,0.01550276613693805
13,0.006880084148157453,0.9983338137244573,0.0017618633324970028,0.016459050239025608,0.007729232818666793,0.9984492033010949,0.001944437161230184,0.016546852817723057
14,0.006971541620699134,0.9983174296503421,0.0017773756339556567,0.016618759664144278,0.007866471331741839,0.9984172883442863,0.001878335801797661,0.016269009442447697
15,0.006935089764549318,0.9983197810070124,0.0017713482573014163,0.016574131615648247,0.008930627103907528,0.9984321140435074,0.002228710147925884,0.017751544955986145
16,0.006721066290416666,0.9983788779063616,0.0017137253025373206,0.016011210580412882,0.00626986386225043,0.9984269553410036,0.001523626201001866,0.014888359885506174
17,0.0067517536412531574,0.9983665039617335,0.0017266563552438409,0.01612799995721259,0.007742222080184639,0.9985870669965875,0.001942508522268032,0.015730514813376253
18,0.006519856984907852,0.9984162305627251,0.0016720229114630598,0.01562220485487531,0.007361882455323487,0.9984831944075779,0.0017784121724261448,0.015544229692065797
19,0.006456968770810421,0.9984304535173578,0.0016494227971859817,0.015455126804415187,0.007389563144900864,0.9985883903744072,0.001872921826884833,0.015465231391993557
20,0.006558349566623439,0.9983952064067125,0.0016746543963617945,0.015753648715373547,0.007107457400007626,0.998494907171501,0.0018282619275969206,0.015829975329021678
21,0.00634976495506453,0.9984344679105561,0.0016219554706033371,0.015318842840845281,0.006679106708645741,0.9985670264281209,0.0016813687150260149,0.01479069871132714
22,0.006421896587693328,0.9984270757995546,0.0016427802183247738,0.015441211297964497,0.007490105162324309,0.998485084824538,0.0017904007798543967,0.015558136723257286
23,0.006173102688457813,0.9984853846981423,0.0015780037150721843,0.01485043392143326,0.008243623260437002,0.9985085147786845,0.001982269059268349,0.016173708752192182
24,0.006224896165576078,0.9984823875129223,0.0015912695903856971,0.01492287170829143,0.007369239757659916,0.9983521002440807,0.001717172465963362,0.01591530789975186
25,0.006153770440921337,0.9984720753564034,0.001573478216933754,0.014904931417578648,0.007209822200959754,0.9984783935478116,0.0017115945266742635,0.01524436342524843
26,0.006029485974516196,0.9985112476424547,0.0015380299075766926,0.014544696238111277,0.007819383702103527,0.9976070991246582,0.002096475826337625,0.022228678047398094
27,0.005984903914029399,0.9985136982286349,0.0015298311810875201,0.014492036486102755,0.006019248731352954,0.9985762765790889,0.0015377197924845436,0.01420005092206775
28,0.005848105428153852,0.9985497996822232,0.0014974138838631248,0.014157759198749842,0.006541198033964972,0.9985925396655907,0.001583392942745856,0.01416489251936721
29,0.005786825625994266,0.9985578170162626,0.0014810519420660321,0.014045071424402256,0.006432346285102741,0.9985709207987906,0.001576438691293326,0.01429779725212014
30,0.005836662230469088,0.9985323630098719,0.0014929485101455964,0.014235395477177892,0.006580148905973312,0.9984069018804004,0.0015145853354747983,0.014765580550552937
31,0.005740428062027748,0.9985657121433178,0.0014667678311786668,0.013943377339793006,0.00740090703954569,0.9979133806644624,0.0017851918146190096,0.01906057880447969
32,0.005757399223624775,0.9985591650183778,0.0014737428168892575,0.014002739760965888,0.006319834670888363,0.9986182849185451,0.001666066779153163,0.014542185094394998
33,0.005596654810233304,0.9985929165850393,0.001432083016946397,0.013645612333929247,0.006850695353052989,0.9984640150768085,0.0016417192219360043,0.01507981507787191
34,0.005491944569267377,0.9986168143950636,0.0014046518865388322,0.01339730351903734,0.006934143148593728,0.9985489012443856,0.0017801314799382642,0.015378332097386177
35,0.005600558226560888,0.9985778410045896,0.0014339099655177611,0.0137384872657067,0.006650457795013495,0.9985775758915869,0.0016498361629904905,0.014574776621962863
