epoch,binary_crossentropy,fbeta,focal_loss,loss,val_binary_crossentropy,val_fbeta,val_focal_loss,val_loss
0,0.009637197986071875,0.9955568759105518,0.0020480410794286538,0.02686771770647356,0.008379862117024307,0.9945227795222013,0.0019882822677031913,0.02971678383756874
1,0.008896775534884759,0.9957848946141894,0.0018763441446885683,0.025007210387355094,0.00757890353186516,0.9947616220127747,0.0016353273888704836,0.02653307400561511
2,0.008350120535209817,0.9959575749671785,0.0017512233529728262,0.023628735531696865,0.006595577391825406,0.9972368771232449,0.0013460393840222346,0.017056151517346043
3,0.00815963829282663,0.9959491083282046,0.001697504896952328,0.023278535278889345,0.006948641243345742,0.9967774026260311,0.0013497351883612488,0.01832438534896851
4,0.008037691011524286,0.9960527576113236,0.0016752305788056985,0.02281890848259671,0.008719763054096103,0.9964077434232158,0.0018051879332301696,0.02264940444061067
5,0.0076957557338851144,0.9961516307666898,0.0015960532980903806,0.021989474427657862,0.007011624636212442,0.997458471203498,0.001491163867193755,0.017459327341010324
6,0.0076473750394526275,0.9961670692355256,0.0015844481687348378,0.0218469057690982,0.007347657329627776,0.9974670260385665,0.0015789001916406956,0.018027332841789135
7,0.007575178951298841,0.9962077160525951,0.0015680706484907552,0.021622931400394396,0.006992971956926895,0.9972213752605716,0.001461959961548864,0.017926442468895385
8,0.007355608642025959,0.9962686279541231,0.0015191313086521687,0.021107429258808708,0.008299419473757645,0.9947897220103162,0.0016715667365843451,0.02667481779253448
9,0.007194987236088154,0.9963110801036237,0.0014795560231259752,0.020705213035169256,0.00782420156872671,0.9951002820440787,0.0017017765474390278,0.025889257787805504
10,0.007223479578106986,0.9963362705238978,0.001488415138966322,0.020695548352282378,0.00632978738614034,0.9971576510139556,0.0013282503969611248,0.01726028507033513
11,0.007034655078303017,0.9964599547165562,0.0014527487759035188,0.02009565198707386,0.006914430569695838,0.9969639591935939,0.0014877965069502183,0.01898222430753713
12,0.006895951156465545,0.9964156384157832,0.0014109199379779382,0.019912910202632084,0.0073169374244052305,0.9967040574408954,0.0015017280598819854,0.019736730793094483
13,0.006960330015829546,0.9964550969962147,0.0014308478606360393,0.019950275078388313,0.007313001472889796,0.9965270682789878,0.0015148928198918535,0.020353106956104296
14,0.006753691873013406,0.9965643811665359,0.001388420773422076,0.01934024399946288,0.0060627595434206505,0.9968204467932114,0.0012864544780629092,0.01802445384563801
15,0.006623779630962157,0.9965130709169898,0.0013482086926270512,0.019193846742344478,0.007848724406998759,0.996090354356782,0.0015882091335245197,0.022121896378734494
16,0.00658762901288984,0.9965505103973555,0.0013425373715392722,0.019051268932976928,0.006880753386144176,0.9974184360083174,0.001465962056763365,0.017430330735829457
17,0.00644563829563815,0.996625974548806,0.0013135250056488823,0.018634939267187955,0.0071380048737514626,0.9975672455311632,0.0015380497993055776,0.017483701222788865
18,0.006387284693865833,0.9966039323044242,0.0012961106440403762,0.01857443928818181,0.006994326199988482,0.9974106488486907,0.0014623811569020823,0.01734982201098183
19,0.006372579268851876,0.9966557644002023,0.001296531877604603,0.018425238474521155,0.006488512751889759,0.9971443293252501,0.0013056051188940847,0.01701702741125482
20,0.006182910193065609,0.9967236965530901,0.0012553640044748254,0.017952323642542622,0.006768529150866587,0.9972794654009095,0.0014287605528396333,0.017564396633031863
21,0.006163509732193093,0.996722178242635,0.0012493624952094435,0.017905914922100696,0.006768227109659182,0.9975798515593459,0.001419514943701496,0.016586033488766267
22,0.006161743131819136,0.9967464257060783,0.0012510252896623267,0.01784921403688089,0.006600866827634781,0.9976265510395549,0.0014070808272283635,0.016401194932205095
23,0.0060428807588550045,0.996792646816175,0.0012236405039641241,0.0175290396933091,0.006932637650140568,0.9974599518071613,0.001439780583967935,0.017046083423385035
24,0.0059700393749095235,0.9967917101384955,0.0012042165755667908,0.017384298327967285,0.006640134748868235,0.9970639581793638,0.0013553617084945963,0.01766189531938608
25,0.00598289178838132,0.9968054966593627,0.001207190628262139,0.017366671610727524,0.006818472595896562,0.9969824478662682,0.0014014341478668158,0.018220485891143036
26,0.005813883753446804,0.9968796293469495,0.0011709316729101422,0.01690569717113738,0.006659144270205476,0.9976561071512452,0.0014336683786131726,0.016530259420420634
27,0.005796317861117921,0.9968685402272968,0.0011661539185168017,0.016904473319520108,0.006593104266161519,0.9974290566654885,0.0013716962794181613,0.016713546086727763
